 GLOBAL PARAMETERS
 
 m [kg]                                          :    6.69402490E+09
 R [km]                                          :    9.99500067E-01
 Mean Density [g/cm^3]                           :    1.60047993E-03
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.26491822E-02
 C20                                             :    9.26061445E-05
 C22                                             :    2.78076742E-05
 ekf (Equivalent Fluid Love Number)              :    2.39361587E-03
 H(n)                                            :    4.00957446E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    5.89626244E-02
 b-R [km]                                        :   -1.67530598E-02
 c-R [km]                                        :   -3.95885594E-02
 
 f1=(a-c)/a                                      :    9.31078458E-02
 f2=(b-c)/b                                      :    2.32363963E-02
 f3=(a-b)/a                                      :    6.98714495E-02
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    1.74261509E-01
 f_MacLaurin                                     :    5.79522752E-02
 f_Roche                                         :    2.32213784E-01
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
 121    6.00000668E-02    6.10628561E+11    1.36973422E+07    3.26123428E+04    3.38965144E-03    8.22963248E-02
 122    6.05000668E-02    6.06018958E+11    1.38224057E+07    3.34632177E+04    3.39475708E-03    8.11781611E-02
 123    6.10000668E-02    6.01418377E+11    1.39460922E+07    3.43253641E+04    3.39990982E-03    8.00782713E-02
 124    6.15000668E-02    5.96827370E+11    1.40683817E+07    3.51986890E+04    3.40510978E-03    7.89962669E-02
 125    6.20000668E-02    5.92246481E+11    1.41892550E+07    3.60830953E+04    3.41035708E-03    7.79317712E-02
 126    6.25000668E-02    5.87676242E+11    1.43086935E+07    3.69784820E+04    3.41565185E-03    7.68844183E-02
 127    6.30000668E-02    5.83117175E+11    1.44266795E+07    3.78847440E+04    3.42099419E-03    7.58538530E-02
 128    6.35000668E-02    5.78569789E+11    1.45431961E+07    3.88017725E+04    3.42638425E-03    7.48397304E-02
 129    6.40000668E-02    5.74034585E+11    1.46582269E+07    3.97294549E+04    3.43182214E-03    7.38417151E-02
 130    6.45000668E-02    5.69512049E+11    1.47717566E+07    4.06676748E+04    3.43730800E-03    7.28594816E-02
 131    6.50000668E-02    5.65002660E+11    1.48837703E+07    4.16163124E+04    3.44284194E-03    7.18927132E-02
 132    6.55000668E-02    5.60506884E+11    1.49942541E+07    4.25752443E+04    3.44842409E-03    7.09411020E-02
 133    6.60000668E-02    5.56025176E+11    1.51031945E+07    4.35443436E+04    3.45405459E-03    7.00043484E-02
 134    6.65000668E-02    5.51557982E+11    1.52105789E+07    4.45234803E+04    3.45973356E-03    6.90821613E-02
 135    6.70000668E-02    5.47105735E+11    1.53163956E+07    4.55125210E+04    3.46546113E-03    6.81742570E-02
 136    6.75000668E-02    5.42668858E+11    1.54206332E+07    4.65113292E+04    3.47123744E-03    6.72803594E-02
 137    6.80000668E-02    5.38247763E+11    1.55232813E+07    4.75197654E+04    3.47706261E-03    6.64001999E-02
 138    6.85000668E-02    5.33842853E+11    1.56243301E+07    4.85376872E+04    3.48293678E-03    6.55335166E-02
 139    6.90000668E-02    5.29454519E+11    1.57237703E+07    4.95649492E+04    3.48886008E-03    6.46800547E-02
 140    6.95000668E-02    5.25083142E+11    1.58215935E+07    5.06014034E+04    3.49483265E-03    6.38395655E-02
 141    7.00000668E-02    5.20729091E+11    1.59177920E+07    5.16468991E+04    3.50085461E-03    6.30118068E-02
 142    7.05000668E-02    5.16392727E+11    1.60123584E+07    5.27012830E+04    3.50692612E-03    6.21965426E-02
 143    7.10000668E-02    5.12074400E+11    1.61052863E+07    5.37643993E+04    3.51304730E-03    6.13935426E-02
 144    7.15000668E-02    5.07774448E+11    1.61965697E+07    5.48360901E+04    3.51921829E-03    6.06025822E-02
 145    7.20000668E-02    5.03493202E+11    1.62862035E+07    5.59161948E+04    3.52543923E-03    5.98234422E-02
 146    7.25000668E-02    4.99230980E+11    1.63741828E+07    5.70045511E+04    3.53171026E-03    5.90559089E-02
 147    7.30000668E-02    4.94988092E+11    1.64605037E+07    5.81009941E+04    3.53803152E-03    5.82997735E-02
 148    7.35000668E-02    4.90764837E+11    1.65451627E+07    5.92053575E+04    3.54440316E-03    5.75548324E-02
 149    7.40000668E-02    4.86561505E+11    1.66281569E+07    6.03174727E+04    3.55082531E-03    5.68208865E-02
 150    7.45000668E-02    4.82378375E+11    1.67094839E+07    6.14371695E+04    3.55729811E-03    5.60977415E-02
 151    7.50000668E-02    4.78215719E+11    1.67891421E+07    6.25642758E+04    3.56382172E-03    5.53852076E-02
 152    7.55000668E-02    4.74073798E+11    1.68671302E+07    6.36986183E+04    3.57039627E-03    5.46830994E-02
 153    7.60000668E-02    4.69952862E+11    1.69434476E+07    6.48400218E+04    3.57702191E-03    5.39912356E-02
 154    7.65000668E-02    4.65853155E+11    1.70180941E+07    6.59883099E+04    3.58369879E-03    5.33094389E-02
 155    7.70000668E-02    4.61774909E+11    1.70910703E+07    6.71433048E+04    3.59042706E-03    5.26375363E-02
 156    7.75000668E-02    4.57718348E+11    1.71623768E+07    6.83048276E+04    3.59720685E-03    5.19753583E-02
 157    7.80000668E-02    4.53683689E+11    1.72320153E+07    6.94726981E+04    3.60403833E-03    5.13227392E-02
 158    7.85000668E-02    4.49671136E+11    1.72999876E+07    7.06467352E+04    3.61092163E-03    5.06795170E-02
 159    7.90000668E-02    4.45680889E+11    1.73662960E+07    7.18267569E+04    3.61785692E-03    5.00455332E-02
 160    7.95000668E-02    4.41713135E+11    1.74309436E+07    7.30125800E+04    3.62484434E-03    4.94206327E-02
 161    8.00000668E-02    4.37768057E+11    1.74939335E+07    7.42040211E+04    3.63188404E-03    4.88046635E-02
 162    8.05000668E-02    4.33845825E+11    1.75552695E+07    7.54008955E+04    3.63897617E-03    4.81974770E-02
 163    8.10000668E-02    4.29946604E+11    1.76149559E+07    7.66030183E+04    3.64612090E-03    4.75989278E-02
 164    8.15000668E-02    4.26070551E+11    1.76729972E+07    7.78102040E+04    3.65331837E-03    4.70088733E-02
 165    8.20000668E-02    4.22217812E+11    1.77293987E+07    7.90222667E+04    3.66056874E-03    4.64271740E-02
 166    8.25000668E-02    4.18388529E+11    1.77841656E+07    8.02390199E+04    3.66787217E-03    4.58536932E-02
 167    8.30000668E-02    4.14582833E+11    1.78373039E+07    8.14602772E+04    3.67522881E-03    4.52882969E-02
 168    8.35000668E-02    4.10800850E+11    1.78888197E+07    8.26858518E+04    3.68263882E-03    4.47308540E-02
 169    8.40000668E-02    4.07042695E+11    1.79387199E+07    8.39155568E+04    3.69010235E-03    4.41812358E-02
 170    8.45000668E-02    4.03308481E+11    1.79870112E+07    8.51492054E+04    3.69761958E-03    4.36393164E-02
 171    8.50000668E-02    3.99598308E+11    1.80337011E+07    8.63866106E+04    3.70519065E-03    4.31049723E-02
 172    8.55000668E-02    3.95912273E+11    1.80787972E+07    8.76275857E+04    3.71281573E-03    4.25780822E-02
 173    8.60000668E-02    3.92250464E+11    1.81223076E+07    8.88719443E+04    3.72049498E-03    4.20585275E-02
 174    8.65000668E-02    3.88612962E+11    1.81642407E+07    9.01194999E+04    3.72822856E-03    4.15461918E-02
 175    8.70000668E-02    3.84999844E+11    1.82046050E+07    9.13700667E+04    3.73601664E-03    4.10409608E-02
 176    8.75000668E-02    3.81411175E+11    1.82434095E+07    9.26234591E+04    3.74385937E-03    4.05427225E-02
 177    8.80000668E-02    3.77847020E+11    1.82806636E+07    9.38794921E+04    3.75175693E-03    4.00513671E-02
 178    8.85000668E-02    3.74307432E+11    1.83163767E+07    9.51379810E+04    3.75970948E-03    3.95667867E-02
 179    8.90000668E-02    3.70792462E+11    1.83505587E+07    9.63987420E+04    3.76771718E-03    3.90888755E-02
 180    8.95000668E-02    3.67302151E+11    1.83832196E+07    9.76615918E+04    3.77578021E-03    3.86175297E-02
 181    9.00000668E-02    3.63836537E+11    1.84143699E+07    9.89263479E+04    3.78389872E-03    3.81526475E-02
 182    9.05000668E-02    3.60395652E+11    1.84440201E+07    1.00192828E+05    3.79207290E-03    3.76941289E-02
 183    9.10000668E-02    3.56979520E+11    1.84721810E+07    1.01460852E+05    3.80030290E-03    3.72418756E-02
 184    9.15000668E-02    3.53588161E+11    1.84988637E+07    1.02730240E+05    3.80858890E-03    3.67957913E-02
 185    9.20000668E-02    3.50221590E+11    1.85240795E+07    1.04000812E+05    3.81693107E-03    3.63557813E-02
 186    9.25000668E-02    3.46879815E+11    1.85478399E+07    1.05272390E+05    3.82532957E-03    3.59217527E-02
 187    9.30000668E-02    3.43562839E+11    1.85701565E+07    1.06544798E+05    3.83378459E-03    3.54936143E-02
 188    9.35000668E-02    3.40270661E+11    1.85910414E+07    1.07817859E+05    3.84229630E-03    3.50712765E-02
 189    9.40000668E-02    3.37003275E+11    1.86105064E+07    1.09091399E+05    3.85086486E-03    3.46546511E-02
 190    9.45000668E-02    3.33760668E+11    1.86285639E+07    1.10365244E+05    3.85949046E-03    3.42436517E-02
 191    9.50000668E-02    3.30542824E+11    1.86452263E+07    1.11639223E+05    3.86817327E-03    3.38381933E-02
 192    9.55000668E-02    3.27349722E+11    1.86605062E+07    1.12913163E+05    3.87691346E-03    3.34381925E-02
 193    9.60000668E-02    3.24181337E+11    1.86744163E+07    1.14186895E+05    3.88571122E-03    3.30435673E-02
 194    9.65000668E-02    3.21037637E+11    1.86869694E+07    1.15460252E+05    3.89456671E-03    3.26542370E-02
 195    9.70000668E-02    3.17918590E+11    1.86981786E+07    1.16733065E+05    3.90348012E-03    3.22701223E-02
 196    9.75000668E-02    3.14824154E+11    1.87080571E+07    1.18005171E+05    3.91245163E-03    3.18911456E-02
 197    9.80000668E-02    3.11754289E+11    1.87166180E+07    1.19276405E+05    3.92148141E-03    3.15172302E-02
 198    9.85000668E-02    3.08708946E+11    1.87238748E+07    1.20546604E+05    3.93056965E-03    3.11483009E-02
 199    9.90000668E-02    3.05688075E+11    1.87298409E+07    1.21815608E+05    3.93971653E-03    3.07842838E-02
 200    9.95000668E-02    3.02691621E+11    1.87345299E+07    1.23083258E+05    3.94892222E-03    3.04251062E-02
 201    1.00000067E-01    2.99719525E+11    1.87379556E+07    1.24349397E+05    3.95818692E-03    3.00706968E-02
 202    1.00500067E-01    2.96771726E+11    1.87401314E+07    1.25613867E+05    3.96751081E-03    2.97209848E-02
 203    1.01000067E-01    2.93848158E+11    1.87410715E+07    1.26876516E+05    3.97689406E-03    2.93759016E-02
 204    1.01500067E-01    2.90948752E+11    1.87407897E+07    1.28137190E+05    3.98633687E-03    2.90353791E-02
