 GLOBAL PARAMETERS
 
 m [kg]                                          :    6.70038113E+08
 R [km]                                          :    9.99500031E-01
 Mean Density [g/cm^3]                           :    1.60199981E-04
 C/mR^2 (Total Moment of Inertia Respect to z)   :    6.99788752E-03
 C20                                             :    1.05934458E-04
 C22                                             :    3.18098858E-05
 ekf (Equivalent Fluid Love Number)              :    2.74071659E-04
 H(n)                                            :    4.00109629E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    4.30119598E+00
 b-R [km]                                        :   -5.04358939E-01
 c-R [km]                                        :   -6.19059686E-01
 
 f1=(a-c)/a                                      :    9.28228222E-01
 f2=(b-c)/b                                      :    2.31652646E-01
 f3=(a-b)/a                                      :    6.96575577E-01
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    1.74096179E+00
 f_MacLaurin                                     :    5.78972934E-01
 f_Roche                                         :    2.31993473E+00
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
 115    5.70000314E-02    1.74072964E+11    3.52246118E+06    7.56715917E+03    4.84698442E-04    3.87416814E-02
 116    5.75000314E-02    1.70191182E+11    3.50486377E+06    7.66264418E+03    4.87730720E-04    3.78556744E-02
 117    5.80000314E-02    1.66394551E+11    3.48679273E+06    7.75690167E+03    4.90798592E-04    3.69935815E-02
 118    5.85000314E-02    1.62681509E+11    3.46827125E+06    7.84991157E+03    4.93902276E-04    3.61546821E-02
 119    5.90000314E-02    1.59050501E+11    3.44932199E+06    7.94165523E+03    4.97041992E-04    3.53382787E-02
 120    5.95000314E-02    1.55499980E+11    3.42996709E+06    8.03211547E+03    5.00217958E-04    3.45436968E-02
 121    6.00000314E-02    1.52028411E+11    3.41022816E+06    8.12127649E+03    5.03430395E-04    3.37702836E-02
 122    6.05000314E-02    1.48634272E+11    3.39012628E+06    8.20912385E+03    5.06679525E-04    3.30174073E-02
 123    6.10000314E-02    1.45316050E+11    3.36968199E+06    8.29564445E+03    5.09965571E-04    3.22844567E-02
 124    6.15000314E-02    1.42072249E+11    3.34891532E+06    8.38082646E+03    5.13288757E-04    3.15708399E-02
 125    6.20000314E-02    1.38901387E+11    3.32784575E+06    8.46465933E+03    5.16649307E-04    3.08759845E-02
 126    6.25000314E-02    1.35801996E+11    3.30649223E+06    8.54713368E+03    5.20047446E-04    3.01993359E-02
 127    6.30000314E-02    1.32772628E+11    3.28487321E+06    8.62824135E+03    5.23483403E-04    2.95403577E-02
 128    6.35000314E-02    1.29811847E+11    3.26300660E+06    8.70797530E+03    5.26957404E-04    2.88985303E-02
 129    6.40000314E-02    1.26918240E+11    3.24090978E+06    8.78632959E+03    5.30469678E-04    2.82733508E-02
 130    6.45000314E-02    1.24090408E+11    3.21859965E+06    8.86329936E+03    5.34020454E-04    2.76643321E-02
 131    6.50000314E-02    1.21326972E+11    3.19609259E+06    8.93888075E+03    5.37609964E-04    2.70710029E-02
 132    6.55000314E-02    1.18626573E+11    3.17340447E+06    9.01307093E+03    5.41238439E-04    2.64929063E-02
 133    6.60000314E-02    1.15987872E+11    3.15055068E+06    9.08586799E+03    5.44906111E-04    2.59296004E-02
 134    6.65000314E-02    1.13409547E+11    3.12754611E+06    9.15727098E+03    5.48613213E-04    2.53806568E-02
 135    6.70000314E-02    1.10890299E+11    3.10440519E+06    9.22727979E+03    5.52359979E-04    2.48456608E-02
 136    6.75000314E-02    1.08428847E+11    3.08114185E+06    9.29589519E+03    5.56146646E-04    2.43242106E-02
 137    6.80000314E-02    1.06023934E+11    3.05776958E+06    9.36311876E+03    5.59973448E-04    2.38159172E-02
 138    6.85000314E-02    1.03674320E+11    3.03430139E+06    9.42895285E+03    5.63840623E-04    2.33204034E-02
 139    6.90000314E-02    1.01378787E+11    3.01074987E+06    9.49340059E+03    5.67748408E-04    2.28373042E-02
 140    6.95000314E-02    9.91361401E+10    2.98712716E+06    9.55646579E+03    5.71697041E-04    2.23662657E-02
 141    7.00000314E-02    9.69452020E+10    2.96344494E+06    9.61815296E+03    5.75686763E-04    2.19069450E-02
 142    7.05000314E-02    9.48048182E+10    2.93971452E+06    9.67846727E+03    5.79717813E-04    2.14590100E-02
 143    7.10000314E-02    9.27138549E+10    2.91594675E+06    9.73741451E+03    5.83790433E-04    2.10221389E-02
 144    7.15000314E-02    9.06711990E+10    2.89215210E+06    9.79500105E+03    5.87904864E-04    2.05960196E-02
 145    7.20000314E-02    8.86757582E+10    2.86834065E+06    9.85123383E+03    5.92061348E-04    2.01803499E-02
 146    7.25000314E-02    8.67264611E+10    2.84452207E+06    9.90612035E+03    5.96260130E-04    1.97748368E-02
 147    7.30000314E-02    8.48222568E+10    2.82070567E+06    9.95966858E+03    6.00501454E-04    1.93791963E-02
 148    7.35000314E-02    8.29621148E+10    2.79690039E+06    1.00118870E+04    6.04785563E-04    1.89931531E-02
 149    7.40000314E-02    8.11450250E+10    2.77311480E+06    1.00627845E+04    6.09112706E-04    1.86164403E-02
 150    7.45000314E-02    7.93699974E+10    2.74935715E+06    1.01123705E+04    6.13483127E-04    1.82487992E-02
 151    7.50000314E-02    7.76360622E+10    2.72563531E+06    1.01606547E+04    6.17897074E-04    1.78899791E-02
 152    7.55000314E-02    7.59422691E+10    2.70195684E+06    1.02076472E+04    6.22354795E-04    1.75397367E-02
 153    7.60000314E-02    7.42876875E+10    2.67832897E+06    1.02533586E+04    6.26856538E-04    1.71978363E-02
 154    7.65000314E-02    7.26714060E+10    2.65475863E+06    1.02977997E+04    6.31402555E-04    1.68640491E-02
 155    7.70000314E-02    7.10925326E+10    2.63125243E+06    1.03409815E+04    6.35993093E-04    1.65381534E-02
 156    7.75000314E-02    6.95501938E+10    2.60781668E+06    1.03829157E+04    6.40628405E-04    1.62199343E-02
 157    7.80000314E-02    6.80435351E+10    2.58445741E+06    1.04236137E+04    6.45308742E-04    1.59091830E-02
 158    7.85000314E-02    6.65717201E+10    2.56118037E+06    1.04630877E+04    6.50034356E-04    1.56056972E-02
 159    7.90000314E-02    6.51339305E+10    2.53799104E+06    1.05013498E+04    6.54805500E-04    1.53092808E-02
 160    7.95000314E-02    6.37293662E+10    2.51489463E+06    1.05384124E+04    6.59622428E-04    1.50197432E-02
 161    8.00000314E-02    6.23572441E+10    2.49189610E+06    1.05742881E+04    6.64485393E-04    1.47368999E-02
 162    8.05000314E-02    6.10167990E+10    2.46900015E+06    1.06089897E+04    6.69394652E-04    1.44605716E-02
 163    8.10000314E-02    5.97072822E+10    2.44621125E+06    1.06425301E+04    6.74350460E-04    1.41905843E-02
 164    8.15000314E-02    5.84279620E+10    2.42353364E+06    1.06749224E+04    6.79353073E-04    1.39267695E-02
 165    8.20000314E-02    5.71781231E+10    2.40097133E+06    1.07061798E+04    6.84402747E-04    1.36689632E-02
 166    8.25000314E-02    5.59570664E+10    2.37852811E+06    1.07363157E+04    6.89499741E-04    1.34170067E-02
 167    8.30000314E-02    5.47641087E+10    2.35620758E+06    1.07653435E+04    6.94644312E-04    1.31707457E-02
 168    8.35000314E-02    5.35985822E+10    2.33401309E+06    1.07932768E+04    6.99836720E-04    1.29300305E-02
 169    8.40000314E-02    5.24598346E+10    2.31194784E+06    1.08201291E+04    7.05077223E-04    1.26947157E-02
 170    8.45000314E-02    5.13472286E+10    2.29001482E+06    1.08459141E+04    7.10366082E-04    1.24646602E-02
 171    8.50000314E-02    5.02601415E+10    2.26821684E+06    1.08706455E+04    7.15703558E-04    1.22397272E-02
 172    8.55000314E-02    4.91979652E+10    2.24655652E+06    1.08943371E+04    7.21089911E-04    1.20197836E-02
 173    8.60000314E-02    4.81601058E+10    2.22503633E+06    1.09170028E+04    7.26525403E-04    1.18047004E-02
 174    8.65000314E-02    4.71459831E+10    2.20365856E+06    1.09386562E+04    7.32010296E-04    1.15943520E-02
 175    8.70000314E-02    4.61550306E+10    2.18242534E+06    1.09593113E+04    7.37544855E-04    1.13886168E-02
 176    8.75000314E-02    4.51866952E+10    2.16133865E+06    1.09789818E+04    7.43129341E-04    1.11873765E-02
 177    8.80000314E-02    4.42404368E+10    2.14040034E+06    1.09976816E+04    7.48764019E-04    1.09905162E-02
