 GLOBAL PARAMETERS
 
 m [kg]                                          :    1.51399065E+12
 R [km]                                          :    1.00000000E+00
 Mean Density [g/cm^3]                           :    3.61438643E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.76966762E-01
 C20                                             :    1.02610188E-04
 C22                                             :    3.08116778E-05
 ekf (Equivalent Fluid Love Number)              :    5.98948509E-01
 H(n)                                            :    6.39579404E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    3.83941022E-04
 b-R [km]                                        :   -1.09857286E-04
 c-R [km]                                        :   -2.73966479E-04
 
 f1=(a-c)/a                                      :    6.57654981E-04
 f2=(b-c)/b                                      :    1.64127219E-04
 f3=(a-b)/a                                      :    4.93527762E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    7.71644239E-04
 f_MacLaurin                                     :    2.56617423E-04
 f_Roche                                         :    1.02826166E-03
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
 134    6.70000000E-02    9.94467000E+11    2.78403580E+07    8.27145039E+04    4.58822649E-01    6.96502268E-02
 135    6.75000000E-02    9.94384000E+11    2.82566436E+07    8.52136791E+04    4.58829229E-01    6.91375553E-02
 136    6.80000000E-02    9.94301000E+11    2.86759830E+07    8.77689562E+04    4.58835858E-01    6.86323214E-02
 137    6.85000000E-02    9.94217000E+11    2.90983462E+07    9.03810736E+04    4.58842536E-01    6.81342960E-02
 138    6.90000000E-02    9.94132000E+11    2.95237311E+07    9.30508586E+04    4.58849264E-01    6.76433249E-02
 139    6.95000000E-02    9.94047000E+11    2.99521657E+07    9.57792402E+04    4.58856040E-01    6.71593257E-02
 140    7.00000000E-02    9.93961000E+11    3.03836186E+07    9.85669663E+04    4.58862865E-01    6.66820839E-02
 141    7.05000000E-02    9.93874000E+11    3.08180878E+07    1.01414881E+05    4.58869740E-01    6.62114580E-02
 142    7.10000000E-02    9.93787000E+11    3.12556025E+07    1.04323939E+05    4.58876664E-01    6.57473764E-02
 143    7.15000000E-02    9.93700000E+11    3.16961620E+07    1.07295005E+05    4.58883636E-01    6.52897034E-02
 144    7.20000000E-02    9.93611000E+11    3.21397007E+07    1.10328726E+05    4.58890658E-01    6.48381770E-02
 145    7.25000000E-02    9.93522000E+11    3.25862806E+07    1.13426189E+05    4.58897729E-01    6.43928016E-02
 146    7.30000000E-02    9.93433000E+11    3.30359010E+07    1.16588276E+05    4.58904849E-01    6.39534524E-02
 147    7.35000000E-02    9.93343000E+11    3.34885272E+07    1.19815753E+05    4.58912019E-01    6.35199440E-02
 148    7.40000000E-02    9.93252000E+11    3.39441571E+07    1.23109504E+05    4.58919237E-01    6.30921598E-02
 149    7.45000000E-02    9.93160000E+11    3.44027885E+07    1.26470418E+05    4.58926505E-01    6.26699864E-02
 150    7.50000000E-02    9.93068000E+11    3.48644541E+07    1.29899521E+05    4.58933821E-01    6.22533757E-02
 151    7.55000000E-02    9.92976000E+11    3.53291531E+07    1.33397723E+05    4.58941187E-01    6.18422183E-02
 152    7.60000000E-02    9.92883000E+11    3.57968486E+07    1.36965802E+05    4.58948602E-01    6.14363462E-02
 153    7.65000000E-02    9.92789000E+11    3.62675382E+07    1.40604671E+05    4.58956067E-01    6.10356571E-02
 154    7.70000000E-02    9.92694000E+11    3.67412197E+07    1.44315246E+05    4.58963580E-01    6.06400518E-02
 155    7.75000000E-02    9.92599000E+11    3.72179282E+07    1.48098599E+05    4.58971143E-01    6.02494937E-02
 156    7.80000000E-02    9.92504000E+11    3.76976629E+07    1.51955669E+05    4.58978755E-01    5.98638867E-02
 157    7.85000000E-02    9.92407000E+11    3.81803458E+07    1.55887087E+05    4.58986416E-01    5.94830177E-02
 158    7.90000000E-02    9.92310000E+11    3.86660511E+07    1.59894102E+05    4.58994126E-01    5.91069173E-02
 159    7.95000000E-02    9.92213000E+11    3.91547778E+07    1.63977672E+05    4.59001886E-01    5.87354963E-02
 160    8.00000000E-02    9.92115000E+11    3.96464851E+07    1.68138588E+05    4.59009694E-01    5.83686092E-02
 161    8.05000000E-02    9.92016000E+11    4.01411705E+07    1.72377807E+05    4.59017553E-01    5.80061728E-02
 162    8.10000000E-02    9.91917000E+11    4.06388726E+07    1.76696466E+05    4.59025460E-01    5.76481638E-02
 163    8.15000000E-02    9.91817000E+11    4.11395490E+07    1.81095364E+05    4.59033416E-01    5.72944438E-02
 164    8.20000000E-02    9.91716000E+11    4.16431971E+07    1.85575472E+05    4.59041422E-01    5.69449355E-02
 165    8.25000000E-02    9.91615000E+11    4.21498571E+07    1.90137958E+05    4.59049477E-01    5.65996203E-02
 166    8.30000000E-02    9.91513000E+11    4.26594849E+07    1.94783623E+05    4.59057582E-01    5.62583666E-02
 167    8.35000000E-02    9.91411000E+11    4.31721216E+07    1.99513656E+05    4.59065736E-01    5.59211587E-02
 168    8.40000000E-02    9.91308000E+11    4.36877221E+07    2.04328858E+05    4.59073939E-01    5.55878690E-02
 169    8.45000000E-02    9.91204000E+11    4.42062839E+07    2.09230228E+05    4.59082191E-01    5.52584290E-02
 170    8.50000000E-02    9.91100000E+11    4.47278495E+07    2.14218987E+05    4.59090493E-01    5.49328269E-02
 171    8.55000000E-02    9.90995000E+11    4.52523723E+07    2.19295937E+05    4.59098844E-01    5.46109411E-02
 172    8.60000000E-02    9.90889000E+11    4.57798498E+07    2.24462093E+05    4.59107245E-01    5.42927077E-02
 173    8.65000000E-02    9.90783000E+11    4.63103260E+07    2.29718707E+05    4.59115695E-01    5.39781184E-02
 174    8.70000000E-02    9.90677000E+11    4.68438000E+07    2.35066822E+05    4.59124194E-01    5.36671109E-02
 175    8.75000000E-02    9.90569000E+11    4.73801750E+07    2.40506997E+05    4.59132743E-01    5.33595171E-02
 176    8.80000000E-02    9.90461000E+11    4.79195436E+07    2.46040750E+05    4.59141341E-01    5.30553865E-02
 177    8.85000000E-02    9.90353000E+11    4.84619048E+07    2.51669138E+05    4.59149989E-01    5.27546610E-02
 178    8.90000000E-02    9.90244000E+11    4.90072079E+07    2.57392966E+05    4.59158686E-01    5.24572308E-02
 179    8.95000000E-02    9.90134000E+11    4.95554504E+07    2.63213286E+05    4.59167433E-01    5.21630414E-02
 180    9.00000000E-02    9.90024000E+11    5.01066801E+07    2.69131426E+05    4.59176229E-01    5.18720919E-02
 181    9.05000000E-02    9.89913000E+11    5.06608448E+07    2.75148189E+05    4.59185074E-01    5.15842769E-02
 182    9.10000000E-02    9.89801000E+11    5.12179418E+07    2.81264642E+05    4.59193969E-01    5.12995454E-02
 183    9.15000000E-02    9.89689000E+11    5.17780207E+07    2.87482149E+05    4.59202914E-01    5.10178991E-02
 184    9.20000000E-02    9.89576000E+11    5.23410274E+07    2.93801511E+05    4.59211908E-01    5.07392367E-02
 185    9.25000000E-02    9.89463000E+11    5.29070126E+07    3.00224113E+05    4.59220951E-01    5.04635615E-02
 186    9.30000000E-02    9.89349000E+11    5.34759213E+07    3.06750753E+05    4.59230044E-01    5.01907750E-02
 187    9.35000000E-02    9.89234000E+11    5.40477507E+07    3.13382526E+05    4.59239187E-01    4.99208315E-02
 188    9.40000000E-02    9.89119000E+11    5.46225530E+07    3.20120854E+05    4.59248379E-01    4.96537363E-02
 189    9.45000000E-02    9.89003000E+11    5.52002715E+07    3.26966530E+05    4.59257621E-01    4.93893947E-02
 190    9.50000000E-02    9.88886000E+11    5.57809032E+07    3.33920663E+05    4.59266912E-01    4.91277637E-02
 191    9.55000000E-02    9.88769000E+11    5.63645023E+07    3.40984714E+05    4.59276253E-01    4.88688506E-02
 192    9.60000000E-02    9.88652000E+11    5.69510676E+07    3.48159821E+05    4.59285643E-01    4.86126133E-02
 193    9.65000000E-02    9.88533000E+11    5.75404817E+07    3.55446413E+05    4.59295084E-01    4.83589128E-02
 194    9.70000000E-02    9.88415000E+11    5.81329162E+07    3.62846699E+05    4.59304573E-01    4.81078563E-02
 195    9.75000000E-02    9.88295000E+11    5.87281937E+07    3.70360733E+05    4.59314113E-01    4.78592582E-02
 196    9.80000000E-02    9.88175000E+11    5.93264293E+07    3.77990398E+05    4.59323702E-01    4.76131778E-02
 197    9.85000000E-02    9.88054000E+11    5.99275612E+07    3.85736471E+05    4.59333341E-01    4.73695291E-02
 198    9.90000000E-02    9.87933000E+11    6.05316479E+07    3.93600500E+05    4.59343029E-01    4.71283234E-02
 199    9.95000000E-02    9.87811000E+11    6.11386262E+07    4.01583257E+05    4.59352767E-01    4.68894767E-02
 200    1.00000000E-01    9.87688000E+11    6.17484931E+07    4.09685903E+05    4.59362555E-01    4.66529540E-02
 201    1.00500000E-01    9.87565000E+11    6.23613088E+07    4.17910024E+05    4.59372393E-01    4.64187681E-02
 202    1.01000000E-01    9.87441000E+11    6.29770082E+07    4.26256385E+05    4.59382280E-01    4.61868377E-02
 203    1.01500000E-01    9.87317000E+11    6.35956528E+07    4.34726601E+05    4.59392217E-01    4.59571763E-02
 204    1.02000000E-01    9.87192000E+11    6.42171763E+07    4.43321427E+05    4.59402204E-01    4.57297046E-02
 205    1.02500000E-01    9.87066000E+11    6.48415757E+07    4.52042048E+05    4.59412241E-01    4.55043909E-02
 206    1.03000000E-01    9.86940000E+11    6.54689141E+07    4.60890122E+05    4.59422327E-01    4.52812499E-02
